year,avg_temp
1808,11.89
1809,11.16
1810,11.55
1811,11.65
1812,10.24
1813,11.35
1814,11.13
1815,10.70
1816,10.32
1817,10.25
1818,10.68
1819,11.38
1820,11.47
1821,10.77
1822,12.22
1823,11.44
1824,11.89
1825,12.56
1826,12.63
1827,12.32
1828,13.40
1829,11.49
1830,12.81
1831,10.99
1832,11.76
1833,11.90
1834,12.06
1835,11.32
1836,10.35
1837,11.19
1838,11.40
1839,11.70
1840,11.84
1841,11.40
1842,12.00
1843,11.01
1844,11.83
1845,12.03
1846,12.34
1847,11.65
1848,11.88
1849,11.38
1850,11.77
1851,12.01
1852,11.50
1853,12.31
1854,12.50
1855,11.79
1856,10.57
1857,10.82
1858,11.83
1859,11.82
1860,11.76
1861,12.00
1862,11.45
1863,11.39
1864,11.51
1865,11.92
1866,11.47
1867,10.90
1868,10.44
1869,11.20
1870,12.22
1871,11.76
1872,11.24
1873,11.10
1874,11.79
1875,10.33
1876,11.52
1877,12.30
1878,12.53
1879,11.91
1880,12.33
1881,12.50
1882,11.88
1883,11.36
1884,12.02
1885,10.88
1886,11.20
1887,11.74
1888,11.09
1889,12.02
1890,12.47
1891,12.04
1892,11.40
1893,11.16
1894,12.49
1895,11.37
1896,12.15
1897,11.81
1898,12.55
1899,11.73
1900,12.71
1901,11.32
1902,11.76
1903,11.57
1904,10.37
1905,11.49
1906,12.34
1907,10.87
1908,12.06
1909,11.93
1910,11.89
1911,12.53
1912,11.49
1913,12.98
1914,11.61
1915,11.92
1916,11.60
1917,10.55
1918,11.86
1919,12.37
1920,11.40
1921,13.37
1922,12.46
1923,12.17
1924,11.13
1925,12.13
1926,11.25
1927,12.15
1928,11.94
1929,12.13
1930,12.64
1931,13.26
1932,12.75
1933,12.60
1934,11.98
1935,11.81
1936,12.00
1937,12.23
1938,12.79
1939,12.75
1940,11.02
1941,12.58
1942,12.40
1943,12.24
1944,12.27
1945,12.31
1946,12.88
1947,12.06
1948,12.20
1949,13.37
1950,12.04
1951,12.37
1952,12.63
1953,13.29
1954,12.69
1955,12.48
1956,12.30
1957,12.74
1958,11.34
1959,13.06
1960,11.78
1961,12.11
1962,11.61
1963,11.58
1964,12.33
1965,12.18
1966,11.89
1967,11.60
1968,12.15
1969,11.98
1970,12.29
1971,12.43
1972,11.89
1973,13.04
1974,12.51
1975,12.67
1976,11.85
1977,12.34
1978,11.56
1979,11.88
1980,12.22
1981,12.00
1982,12.16
1983,12.48
1984,12.42
1985,12.79
1986,12.65
1987,12.78
1988,12.14
1989,11.92
1990,13.75
1991,13.76
1992,11.96
1993,12.39
1994,12.46
1995,12.55
1996,11.85
1997,12.36
1998,14.07
1999,13.19
2000,12.28
2001,12.99
2002,13.46
2003,12.07
2004,12.79
2005,12.82
2006,13.59
2007,13.13
2008,12.76
2009,12.44
2010,13.28
2011,13.56
2012,14.00
2013,14.19
